# mfp(m) k_l(Wm-1K-1)
5.353007543250717517e-17 2.424972741590258008e-19
5.376062489353713383e-17 2.428909975121115145e-19
5.387984890333246817e-17 2.479341454459885716e-19
5.395830171118348362e-17 2.498035038976116905e-19
5.397499584395648454e-17 2.537998497276164556e-19
5.414043084523416241e-17 2.555682085896716676e-19
5.422192912020768406e-17 2.561254043591913610e-19
5.435014823143975315e-17 2.594430413718621196e-19
5.438522517986720531e-17 2.616005790952285692e-19
5.475089903006232979e-17 2.631016832997513392e-19
5.491797409316629757e-17 2.631751058239343222e-19
5.525256761175194431e-17 2.651595695900211829e-19
5.527723249131299049e-17 2.671451384857861683e-19
5.563761652579420402e-17 2.676846788948904966e-19
5.638717084856816697e-17 2.682826272020583764e-19
5.654561812553913903e-17 2.688443881173842148e-19
5.657924742231477692e-17 2.693394047765488614e-19
5.669687243535255090e-17 2.736228079662361752e-19
5.673619453492792180e-17 2.747495991794003515e-19
5.679477469646240657e-17 2.755660828872839257e-19
5.702018315990231671e-17 2.774830755151114926e-19
5.706404970742508067e-17 2.826664432178151333e-19
5.720134040564619635e-17 2.835474880302644994e-19
5.769860882009572456e-17 2.839383184079313368e-19
5.780900495157237463e-17 2.905874416704708484e-19
5.789763471317359747e-17 2.975976124146573833e-19
5.835400538737835195e-17 2.979212217143268158e-19
5.835511753252621884e-17 2.990394949055572982e-19
5.840654037499452550e-17 3.018819477613783988e-19
5.847553613962478177e-17 3.056865736791663857e-19
5.863370627768237552e-17 3.090418147627386483e-19
5.915501346982539426e-17 3.125587343161281946e-19
5.939193588503138080e-17 3.142093595083006044e-19
6.031692003205615111e-17 3.160994424367477652e-19
6.034660758278823182e-17 3.161959043105103784e-19
6.079161968218807150e-17 3.165134198011181737e-19
6.090215715763802265e-17 3.178844538181093172e-19
6.103078115152377908e-17 3.197003604563033180e-19
6.116353748497034687e-17 3.248144213805373825e-19
6.126051995613324568e-17 3.268478401913229929e-19
6.160488810286657223e-17 3.332651269080353788e-19
6.199557356968168603e-17 3.358934381202950009e-19
6.201786967431121594e-17 3.359910798792221497e-19
6.214227497511584582e-17 3.388237790103330089e-19
6.261113697157960033e-17 3.409305090178327097e-19
6.272811738823039492e-17 3.443540414225312182e-19
6.293270868797932367e-17 3.446905851983609662e-19
6.303738857592320947e-17 3.448066547265047330e-19
6.324337584280197087e-17 3.470874288960280887e-19
6.342575216855672842e-17 3.477198435990951811e-19
6.343117765480305627e-17 3.491711144700128663e-19
6.349384824525550417e-17 3.497920370728414262e-19
6.391866082140226163e-17 3.518572295147831727e-19
6.411674109717284493e-17 3.530290547427976156e-19
6.439603009978620447e-17 3.610554566882610752e-19
6.488055643012875014e-17 3.615230870386630087e-19
6.507419878726882002e-17 3.704035197599962540e-19
6.557224252401295216e-17 3.784206860694668147e-19
6.576469583625162591e-17 3.792829490692456090e-19
6.580806401609494362e-17 3.797723750724741866e-19
6.628445358062027410e-17 3.803894268339172115e-19
6.632956836992405611e-17 3.810470084437657806e-19
6.642555263580462472e-17 3.858223479972277133e-19
6.645938204154501644e-17 3.901662315073178968e-19
6.649730377053594818e-17 3.986639946961504664e-19
6.657679638629938633e-17 4.068206817570564856e-19
6.683673118965413929e-17 4.122543773962145866e-19
6.687597647433033423e-17 4.157038642523456019e-19
6.692326861245002316e-17 4.181677413861311507e-19
6.696149142509270458e-17 4.185785390134588165e-19
6.704438909867168777e-17 4.189500485067698029e-19
6.716480783512724285e-17 4.261309203043472077e-19
6.724819519427755786e-17 4.316776659589635230e-19
6.734491443232565019e-17 4.324280705511492869e-19
6.735418551554834554e-17 4.376994168686283651e-19
6.741846756917283270e-17 4.431249745360849745e-19
6.750062331194286305e-17 4.512598114498432025e-19
6.755513266208655603e-17 4.604131135657240856e-19
6.770700307655311031e-17 4.698393755663610443e-19
6.795920756301814710e-17 4.752544172178719846e-19
6.799136532303543175e-17 4.779289329131105898e-19
6.808631404156284127e-17 4.813874173754130352e-19
6.808657393411075633e-17 4.855575463964735641e-19
6.831975231478114322e-17 4.870856405815381140e-19
6.836323518176418969e-17 4.904495846963980563e-19
6.869740969820661500e-17 4.939730879951259606e-19
6.889816993668181273e-17 4.966836081312367606e-19
6.902118719892595365e-17 4.993497746380027843e-19
6.931912876804351134e-17 4.994556302044511935e-19
6.945785798014135087e-17 5.024162292597384114e-19
7.001012652521136303e-17 5.066525733643013147e-19
7.006386999054039113e-17 5.095158278373048404e-19
7.047294297168942089e-17 5.115137707725295284e-19
7.069778840005708577e-17 5.131413383809178067e-19
7.074324414963351976e-17 5.239732071984012229e-19
7.083378544699668528e-17 5.244156663742319898e-19
7.114790085068448005e-17 5.282110970279807549e-19
7.130818667377202331e-17 5.319135066126721757e-19
7.145740014345008471e-17 5.336745615257171030e-19
7.153396481175613308e-17 5.381501819613994063e-19
7.253629736158947792e-17 5.404624235067218616e-19
7.257676793441627434e-17 5.424830429880688036e-19
7.263476203662377165e-17 5.433296445245909117e-19
7.278475546242130477e-17 5.472675376043042300e-19
7.290627868126612029e-17 5.488317289500358201e-19
7.293570703359669286e-17 5.498663459507814001e-19
7.325834086384865156e-17 5.557103483193806544e-19
7.330523455125871450e-17 5.618934832913914532e-19
7.331469626299241053e-17 5.628249202778696716e-19
7.332317277059044250e-17 5.678234357785575862e-19
7.336279928815491852e-17 5.719995901702322922e-19
7.346913379563970481e-17 5.742210267454667997e-19
7.405795610179975865e-17 5.782586338252143145e-19
7.415061944131583242e-17 5.818411043354022541e-19
7.479689234736633070e-17 5.825403070919248179e-19
7.487498146832878006e-17 5.920225167256975817e-19
7.495804774633842884e-17 5.937442203833697266e-19
7.542564416599646306e-17 5.966980178888809624e-19
7.582890043804805604e-17 6.080803350163475642e-19
7.590048358026953558e-17 6.081722171863562573e-19
7.591435661081002867e-17 6.183277042116316263e-19
7.655052899251177717e-17 6.210201138010002981e-19
7.681556724397588909e-17 6.238528164061634393e-19
7.686559140360048459e-17 6.305649280825801649e-19
7.749545258348500899e-17 6.311587286775014692e-19
7.751962185836837846e-17 6.378223141284578117e-19
7.755590235563358089e-17 6.410834937793582401e-19
7.756174950432350520e-17 6.536692053320265205e-19
7.772288811685500515e-17 6.593992083275118252e-19
7.787353980721374683e-17 6.607314094154243727e-19
7.837218982786143380e-17 6.652826812961308233e-19
7.848650295445158343e-17 6.719352086387887890e-19
7.876274861708805054e-17 6.758255778942816387e-19
7.886001236917938612e-17 6.767938895607800838e-19
7.909607523543417896e-17 6.895894501763475654e-19
7.921641304108457692e-17 6.904104955842422467e-19
7.928766226463032473e-17 6.947479503347962470e-19
7.933302845103220262e-17 6.972273540432673289e-19
7.971666717484489635e-17 7.005598619909266810e-19
7.991441703386310850e-17 7.123642682037157144e-19
7.998217989112240092e-17 7.196885097302219197e-19
8.006768146743620717e-17 7.268149349679665969e-19
8.009853397893682970e-17 7.296422569675239401e-19
8.011296189604351134e-17 7.329916950384423282e-19
8.014851248089461705e-17 7.392211280329164140e-19
8.021436452779614891e-17 7.430256429610506021e-19
8.031726679193988925e-17 7.480347731493447165e-19
8.056777029007130672e-17 7.490983990393414790e-19
8.060504140932061417e-17 7.501367744411685423e-19
